driver_nationality,age_at_first_race,driver_first_place_count,driver_second_place_count,driver_third_place_count,driver_top_5_place_count,constructorName,constructor_nationality,constructor_first_place_count,constructor_second_place_count,constructor_third_place_count,constructor_top_5_place_count,best_performing_circuit_name,min_lap_time_diff,avg_lap_time_diff,max_lap_time_diff,median_lap_position,min_pit_stop_time,avg_pit_time,max_pit_stop_time,most_common_pitstop_lap,most_common_starting_position,most_common_ending_position
British,twenty-two,three,three,fifteen,fifteen,Mercedes,German,sixteen,two,two,twenty-six,Hungaroring,0-25%,50% and more,50% and more,three,25-50%,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
German,twenty,three,three,eleven,eleven,Aston Martin,British,zero,zero,zero,two,Albert Park Grand Prix Circuit,0-25%,50% and more,50% and more,five,50% and more,50% and more,50% and more,Late Pitstop,Beyond Top 10,Beyond Top 10
Indian,twenty-eight,zero,zero,zero,zero,HRT,Spanish,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,50% and more,twenty,0-25%,25-50%,25-50%,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-three,zero,zero,zero,zero,Haas F1 Team,American,zero,zero,zero,two,Red Bull Ring,50% and more,50% and more,50% and more,twelve,50% and more,25-50%,50% and more,Early Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-three,zero,zero,zero,zero,Aston Martin,British,zero,zero,zero,two,Circuit de Spa-Francorchamps,50% and more,50% and more,50% and more,ten,50% and more,25-50%,0-25%,Late Pitstop,Beyond Top 10,Beyond Top 10
Russian,twenty-six,zero,zero,zero,zero,Caterham,Malaysian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,0-25%,50% and more,50% and more,thirteen,0-25%,0-25%,0-25%,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-seven,zero,zero,zero,zero,Williams,British,twenty-five,thirteen,eight,sixty-seven,Autodromo Nazionale di Monza,50% and more,50% and more,50% and more,sixteen,0-25%,0-25%,25-50%,Late Pitstop,Beyond Top 10,Beyond Top 10
Indian,twenty-six,zero,zero,zero,zero,Lotus,Malaysian,zero,zero,zero,zero,Bahrain International Circuit,50% and more,50% and more,0-25%,twenty,50% and more,25-50%,0-25%,Late Pitstop,Beyond Top 10,Beyond Top 10
Venezuelan,twenty-six,zero,zero,zero,zero,Lotus F1,British,zero,zero,zero,six,Circuit Gilles Villeneuve,50% and more,50% and more,50% and more,thirteen,0-25%,0-25%,0-25%,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-five,zero,zero,zero,zero,Williams,British,twenty-five,thirteen,twelve,seventy-six,Marina Bay Street Circuit,50% and more,50% and more,50% and more,twelve,50% and more,0-25%,0-25%,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Mexican,twenty-one,zero,zero,three,three,Red Bull,Austrian,ten,nine,five,twenty-six,Baku City Circuit,0-25%,50% and more,50% and more,eight,0-25%,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Belgian,twenty-six,zero,zero,zero,zero,Lotus F1,British,zero,zero,zero,three,Albert Park Grand Prix Circuit,50% and more,0-25%,0-25%,eighteen,0-25%,0-25%,0-25%,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Australian,twenty-two,zero,zero,four,four,McLaren,British,twenty-three,twenty-nine,thirty,one hundred and seven,Autodromo Nazionale di Monza,0-25%,50% and more,50% and more,nine,50% and more,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-two,zero,zero,zero,zero,Toro Rosso,Italian,zero,zero,zero,zero,Circuit Gilles Villeneuve,0-25%,50% and more,50% and more,thirteen,50% and more,0-25%,0-25%,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-two,zero,zero,zero,zero,Caterham,Malaysian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,0-25%,eighteen,0-25%,25-50%,25-50%,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-two,zero,zero,zero,zero,Marussia,Russian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,50% and more,nineteen,25-50%,0-25%,25-50%,Late Pitstop,Beyond Top 10,Beyond Top 10
Mexican,twenty-two,zero,zero,zero,zero,Haas F1 Team,American,zero,zero,zero,zero,Albert Park Grand Prix Circuit,0-25%,50% and more,50% and more,fourteen,25-50%,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Finnish,twenty-four,two,two,seven,seven,Alfa Romeo,Swiss,zero,zero,zero,zero,Circuit Gilles Villeneuve,0-25%,50% and more,50% and more,six,50% and more,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Dutch,twenty-eight,zero,zero,zero,zero,Caterham,Malaysian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,50% and more,eighteen,25-50%,25-50%,25-50%,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-four,zero,zero,zero,zero,Marussia,Russian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,50% and more,eighteen,50% and more,25-50%,0-25%,Late Pitstop,Beyond Top 10,Beyond Top 10
Danish,twenty-two,zero,zero,zero,zero,Haas F1 Team,American,zero,zero,zero,two,Albert Park Grand Prix Circuit,25-50%,50% and more,50% and more,eleven,50% and more,50% and more,50% and more,Late Pitstop,Beyond Top 10,Beyond Top 10
Russian,twenty,zero,zero,zero,zero,AlphaTauri,Italian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,25-50%,50% and more,50% and more,eleven,25-50%,50% and more,50% and more,Early Pitstop,Beyond Top 10,Beyond Top 10
Swedish,twenty-four,zero,zero,zero,zero,Sauber,Swiss,zero,zero,zero,five,Albert Park Grand Prix Circuit,50% and more,50% and more,50% and more,fifteen,25-50%,50% and more,50% and more,Early Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-three,zero,zero,zero,zero,Manor Marussia,British,zero,zero,zero,zero,Sepang International Circuit,50% and more,25-50%,0-25%,eighteen,25-50%,0-25%,0-25%,Late Pitstop,Beyond Top 10,Beyond Top 10
Dutch,eighteen,zero,zero,six,six,Red Bull,Austrian,ten,nine,five,twenty-six,Red Bull Ring,0-25%,50% and more,25-50%,four,50% and more,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-three,zero,zero,zero,zero,Sauber,Swiss,zero,zero,zero,five,Albert Park Grand Prix Circuit,50% and more,25-50%,25-50%,fourteen,25-50%,25-50%,25-50%,Early Pitstop,Beyond Top 10,Beyond Top 10
Spanish,twenty-one,zero,zero,two,two,Ferrari,Italian,forty,fifty-six,thirty-one,one hundred and seventy-five,Autodromo Nazionale di Monza,25-50%,50% and more,50% and more,eight,50% and more,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Spanish,twenty-four,zero,zero,zero,zero,Manor Marussia,British,zero,zero,zero,zero,Sepang International Circuit,50% and more,50% and more,0-25%,seventeen,50% and more,25-50%,25-50%,Late Pitstop,Beyond Top 10,Beyond Top 10
American,twenty-four,zero,zero,zero,zero,Manor Marussia,British,zero,zero,zero,zero,Marina Bay Street Circuit,50% and more,50% and more,0-25%,eighteen,50% and more,50% and more,25-50%,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-five,zero,zero,zero,zero,Renault,French,four,two,seven,thirty-one,Marina Bay Street Circuit,50% and more,50% and more,0-25%,fourteen,25-50%,25-50%,0-25%,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-two,zero,zero,zero,zero,Sauber,Swiss,zero,zero,zero,five,Circuit de Barcelona-Catalunya,50% and more,50% and more,50% and more,sixteen,50% and more,50% and more,50% and more,Early Pitstop,Beyond Top 10,Beyond Top 10
Indonesian,twenty-three,zero,zero,zero,zero,Manor Marussia,British,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,50% and more,nineteen,25-50%,25-50%,0-25%,Late Pitstop,Beyond Top 10,Beyond Top 10
Belgian,twenty-four,zero,zero,zero,zero,McLaren,British,twenty-three,twenty-nine,twenty-eight,ninety-nine,Bahrain International Circuit,50% and more,50% and more,0-25%,twelve,50% and more,25-50%,0-25%,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty,zero,zero,zero,zero,Alpine F1 Team,French,zero,zero,zero,four,Bahrain International Circuit,50% and more,50% and more,50% and more,eleven,50% and more,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Canadian,nineteen,zero,zero,zero,zero,Aston Martin,British,zero,zero,zero,two,Baku City Circuit,50% and more,50% and more,50% and more,twelve,50% and more,50% and more,50% and more,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-four,zero,zero,zero,zero,Alfa Romeo,Swiss,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,0-25%,fourteen,50% and more,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-one,zero,zero,zero,zero,AlphaTauri,Italian,zero,zero,zero,zero,Baku City Circuit,50% and more,25-50%,50% and more,ten,50% and more,0-25%,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
New Zealander,twenty-eight,zero,zero,zero,zero,Toro Rosso,Italian,zero,zero,zero,zero,Circuit of the Americas,50% and more,25-50%,0-25%,fourteen,25-50%,0-25%,0-25%,Early Pitstop,Beyond Top 10,Beyond Top 10
Monegasque,twenty-one,one,one,two,two,Ferrari,Italian,forty,fifty-six,thirty-one,one hundred and seventy-five,Bahrain International Circuit,0-25%,50% and more,50% and more,six,0-25%,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Russian,twenty-three,zero,zero,zero,zero,Williams,British,twenty-five,thirteen,twelve,seventy-six,Autodromo Nazionale di Monza,50% and more,50% and more,0-25%,sixteen,50% and more,25-50%,0-25%,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
British,twenty,zero,zero,zero,zero,McLaren,British,twenty-three,twenty-nine,thirty,one hundred and seven,Autodromo Enzo e Dino Ferrari,0-25%,50% and more,50% and more,eight,25-50%,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-one,zero,zero,one,one,Mercedes,German,sixteen,two,two,twenty-six,Albert Park Grand Prix Circuit,0-25%,50% and more,50% and more,twelve,50% and more,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Thai,twenty-three,zero,zero,zero,zero,Williams,British,twenty-five,thirteen,twelve,seventy-six,Autodromo Internazionale del Mugello,25-50%,50% and more,50% and more,eleven,0-25%,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Canadian,twenty-five,zero,zero,zero,zero,Williams,British,twenty-five,thirteen,twelve,seventy-six,Hungaroring,50% and more,50% and more,50% and more,seventeen,50% and more,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-four,zero,zero,zero,zero,Haas F1 Team,American,zero,zero,zero,two,Bahrain International Circuit,50% and more,50% and more,0-25%,eighteen,50% and more,50% and more,0-25%,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-five,zero,zero,zero,zero,Williams,British,twenty-five,thirteen,twelve,seventy-six,Bahrain International Circuit,50% and more,50% and more,25-50%,sixteen,50% and more,50% and more,25-50%,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,twenty-one,zero,zero,zero,zero,AlphaTauri,Italian,zero,zero,zero,zero,Autodromo Enzo e Dino Ferrari,25-50%,50% and more,50% and more,thirteen,0-25%,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Russian,twenty-two,zero,zero,zero,zero,Haas F1 Team,American,zero,zero,zero,two,Losail International Circuit,50% and more,50% and more,50% and more,eighteen,0-25%,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-two,zero,zero,zero,zero,Haas F1 Team,American,zero,zero,zero,two,Losail International Circuit,25-50%,50% and more,50% and more,sixteen,0-25%,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Chinese,twenty-three,zero,zero,zero,zero,Alfa Romeo,Swiss,zero,zero,zero,zero,Circuit Gilles Villeneuve,0-25%,50% and more,50% and more,fourteen,0-25%,50% and more,50% and more,Early Pitstop,Beyond Top 10,Beyond Top 10
Dutch,twenty-seven,zero,zero,zero,zero,Williams,British,twenty-five,thirteen,twelve,seventy-six,Autodromo Nazionale di Monza,50% and more,25-50%,0-25%,nine,50% and more,25-50%,0-25%,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
