constructorId,years_points_places
71,"[{""year"":1977,""points"":0.0,""place"":13,""accumulated_points"":0.0,""num_first_places"":0}]"
72,"[{""year"":1976,""points"":0.0,""place"":14,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1977,""points"":0.0,""place"":13,""accumulated_points"":0.0,""num_first_places"":0}]"
73,"[{""year"":1974,""points"":0.0,""place"":13,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1975,""points"":5.0,""place"":10,""accumulated_points"":5.0,""num_first_places"":0},{""year"":1976,""points"":1.0,""place"":13,""accumulated_points"":6.0,""num_first_places"":0}]"
74,"[{""year"":1974,""points"":0.0,""place"":13,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1975,""points"":0.0,""place"":14,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1976,""points"":0.0,""place"":14,""accumulated_points"":0.0,""num_first_places"":0}]"
75,"[{""year"":1975,""points"":3.0,""place"":11,""accumulated_points"":3.0,""num_first_places"":0}]"
76,"[{""year"":1974,""points"":0.0,""place"":13,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1975,""points"":0.0,""place"":14,""accumulated_points"":0.0,""num_first_places"":0}]"
77,"[{""year"":1974,""points"":0.0,""place"":13,""accumulated_points"":0.0,""num_first_places"":0}]"
78,"[{""year"":1974,""points"":0.0,""place"":13,""accumulated_points"":0.0,""num_first_places"":0}]"
79,"[{""year"":1974,""points"":0.0,""place"":13,""accumulated_points"":0.0,""num_first_places"":0}]"
80,"[{""year"":1973,""points"":2.0,""place"":10,""accumulated_points"":2.0,""num_first_places"":0},{""year"":1974,""points"":4.0,""place"":10,""accumulated_points"":6.0,""num_first_places"":0}]"
81,"[{""year"":1972,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1973,""points"":1.0,""place"":11,""accumulated_points"":1.0,""num_first_places"":0}]"
82,"[{""year"":1967,""points"":0.0,""place"":12,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1968,""points"":8.0,""place"":9,""accumulated_points"":8.0,""num_first_places"":0},{""year"":1970,""points"":23.0,""place"":6,""accumulated_points"":31.0,""num_first_places"":0},{""year"":1971,""points"":9.0,""place"":7,""accumulated_points"":40.0,""num_first_places"":0},{""year"":1972,""points"":12.0,""place"":8,""accumulated_points"":52.0,""num_first_places"":0}]"
83,"[{""year"":1972,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0}]"
84,"[{""year"":1972,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0}]"
85,"[{""year"":1970,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1971,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0}]"
86,"[{""year"":1962,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1963,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1970,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
87,"[{""year"":1958,""points"":31.0,""place"":3,""accumulated_points"":31.0,""num_first_places"":0},{""year"":1962,""points"":0.0,""place"":9,""accumulated_points"":31.0,""num_first_places"":0}]"
89,"[{""year"":1962,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1963,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1968,""points"":0.0,""place"":11,""accumulated_points"":0.0,""num_first_places"":0}]"
90,"[{""year"":1967,""points"":0.0,""place"":12,""accumulated_points"":0.0,""num_first_places"":0}]"
91,"[{""year"":1966,""points"":0.0,""place"":13,""accumulated_points"":0.0,""num_first_places"":0}]"
92,"[{""year"":1963,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1964,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
93,"[{""year"":1965,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
94,"[{""year"":1963,""points"":6.0,""place"":6,""accumulated_points"":6.0,""num_first_places"":0},{""year"":1964,""points"":5.0,""place"":7,""accumulated_points"":11.0,""num_first_places"":0}]"
95,"[{""year"":1958,""points"":0.0,""place"":7,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1959,""points"":0.0,""place"":5,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1960,""points"":1.0,""place"":7,""accumulated_points"":1.0,""num_first_places"":0},{""year"":1961,""points"":22.0,""place"":3,""accumulated_points"":23.0,""num_first_places"":0},{""year"":1962,""points"":18.0,""place"":5,""accumulated_points"":41.0,""num_first_places"":0},{""year"":1963,""points"":5.0,""place"":7,""accumulated_points"":46.0,""num_first_places"":0},{""year"":1964,""points"":0.0,""place"":9,""accumulated_points"":46.0,""num_first_places"":0}]"
96,"[{""year"":1964,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
97,"[{""year"":1961,""points"":0.0,""place"":6,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1962,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1963,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
98,"[{""year"":1963,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
99,"[{""year"":1961,""points"":0.0,""place"":6,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1962,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
100,"[{""year"":1962,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
101,"[{""year"":1959,""points"":0.0,""place"":5,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1960,""points"":0.0,""place"":8,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1961,""points"":0.0,""place"":6,""accumulated_points"":0.0,""num_first_places"":0}]"
103,"[{""year"":1961,""points"":0.0,""place"":6,""accumulated_points"":0.0,""num_first_places"":0}]"
104,"[{""year"":1960,""points"":0.0,""place"":8,""accumulated_points"":0.0,""num_first_places"":0}]"
105,"[{""year"":1958,""points"":6.0,""place"":5,""accumulated_points"":6.0,""num_first_places"":0},{""year"":1959,""points"":0.0,""place"":5,""accumulated_points"":6.0,""num_first_places"":0},{""year"":1960,""points"":0.0,""place"":8,""accumulated_points"":6.0,""num_first_places"":0}]"
106,"[{""year"":1960,""points"":0.0,""place"":8,""accumulated_points"":0.0,""num_first_places"":0}]"
113,"[{""year"":1959,""points"":0.0,""place"":5,""accumulated_points"":0.0,""num_first_places"":0}]"
117,"[{""year"":1959,""points"":0.0,""place"":5,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1960,""points"":0.0,""place"":8,""accumulated_points"":0.0,""num_first_places"":0},{""year"":2021,""points"":77.0,""place"":7,""accumulated_points"":77.0,""num_first_places"":0},{""year"":2022,""points"":55.0,""place"":6,""accumulated_points"":132.0,""num_first_places"":0}]"
118,"[{""year"":1958,""points"":48.0,""place"":1,""accumulated_points"":48.0,""num_first_places"":1},{""year"":1959,""points"":0.0,""place"":5,""accumulated_points"":48.0,""num_first_places"":1},{""year"":1960,""points"":0.0,""place"":8,""accumulated_points"":48.0,""num_first_places"":1}]"
123,"[{""year"":1959,""points"":0.0,""place"":5,""accumulated_points"":0.0,""num_first_places"":0}]"
124,"[{""year"":1959,""points"":0.0,""place"":5,""accumulated_points"":0.0,""num_first_places"":0}]"
125,"[{""year"":1958,""points"":0.0,""place"":7,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1959,""points"":0.0,""place"":5,""accumulated_points"":0.0,""num_first_places"":0}]"
127,"[{""year"":1958,""points"":0.0,""place"":7,""accumulated_points"":0.0,""num_first_places"":0}]"
131,"[{""year"":2010,""points"":214.0,""place"":4,""accumulated_points"":214.0,""num_first_places"":0},{""year"":2011,""points"":165.0,""place"":4,""accumulated_points"":379.0,""num_first_places"":0},{""year"":2012,""points"":142.0,""place"":5,""accumulated_points"":521.0,""num_first_places"":0},{""year"":2013,""points"":360.0,""place"":2,""accumulated_points"":881.0,""num_first_places"":0},{""year"":2014,""points"":701.0,""place"":1,""accumulated_points"":1582.0,""num_first_places"":1},{""year"":2015,""points"":703.0,""place"":1,""accumulated_points"":2285.0,""num_first_places"":2},{""year"":2016,""points"":765.0,""place"":1,""accumulated_points"":3050.0,""num_first_places"":3},{""year"":2017,""points"":668.0,""place"":1,""accumulated_points"":3718.0,""num_first_places"":4},{""year"":2018,""points"":655.0,""place"":1,""accumulated_points"":4373.0,""num_first_places"":5},{""year"":2019,""points"":739.0,""place"":1,""accumulated_points"":5112.0,""num_first_places"":6},{""year"":2020,""points"":573.0,""place"":1,""accumulated_points"":5685.0,""num_first_places"":7},{""year"":2021,""points"":613.5,""place"":1,""accumulated_points"":6298.5,""num_first_places"":8},{""year"":2022,""points"":515.0,""place"":3,""accumulated_points"":6813.5,""num_first_places"":8}]"
164,"[{""year"":2010,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0},{""year"":2011,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0},{""year"":2012,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0}]"
166,"[{""year"":2010,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0},{""year"":2011,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0}]"
167,"[{""year"":1959,""points"":0.0,""place"":5,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1960,""points"":3.0,""place"":5,""accumulated_points"":3.0,""num_first_places"":0},{""year"":1961,""points"":0.0,""place"":6,""accumulated_points"":3.0,""num_first_places"":0},{""year"":1963,""points"":0.0,""place"":9,""accumulated_points"":3.0,""num_first_places"":0},{""year"":1965,""points"":0.0,""place"":9,""accumulated_points"":3.0,""num_first_places"":0},{""year"":1966,""points"":30.0,""place"":3,""accumulated_points"":33.0,""num_first_places"":0},{""year"":1967,""points"":28.0,""place"":3,""accumulated_points"":61.0,""num_first_places"":0},{""year"":1968,""points"":0.0,""place"":11,""accumulated_points"":61.0,""num_first_places"":0},{""year"":1969,""points"":0.0,""place"":7,""accumulated_points"":61.0,""num_first_places"":0}]"
168,"[{""year"":1959,""points"":0.0,""place"":5,""accumulated_points"":0.0,""num_first_places"":0}]"
169,"[{""year"":1959,""points"":0.0,""place"":5,""accumulated_points"":0.0,""num_first_places"":0}]"
170,"[{""year"":1959,""points"":40.0,""place"":1,""accumulated_points"":40.0,""num_first_places"":1},{""year"":1960,""points"":48.0,""place"":1,""accumulated_points"":88.0,""num_first_places"":2},{""year"":1961,""points"":14.0,""place"":4,""accumulated_points"":102.0,""num_first_places"":2},{""year"":1962,""points"":29.0,""place"":3,""accumulated_points"":131.0,""num_first_places"":2},{""year"":1963,""points"":25.0,""place"":5,""accumulated_points"":156.0,""num_first_places"":2},{""year"":1964,""points"":16.0,""place"":5,""accumulated_points"":172.0,""num_first_places"":2},{""year"":1965,""points"":14.0,""place"":5,""accumulated_points"":186.0,""num_first_places"":2},{""year"":1967,""points"":6.0,""place"":8,""accumulated_points"":192.0,""num_first_places"":2},{""year"":1968,""points"":0.0,""place"":11,""accumulated_points"":192.0,""num_first_places"":2}]"
171,"[{""year"":1960,""points"":3.0,""place"":5,""accumulated_points"":3.0,""num_first_places"":0}]"
172,"[{""year"":1961,""points"":35.0,""place"":2,""accumulated_points"":35.0,""num_first_places"":0},{""year"":1962,""points"":36.0,""place"":2,""accumulated_points"":71.0,""num_first_places"":0},{""year"":1963,""points"":54.0,""place"":1,""accumulated_points"":125.0,""num_first_places"":1},{""year"":1964,""points"":37.0,""place"":3,""accumulated_points"":162.0,""num_first_places"":1},{""year"":1965,""points"":54.0,""place"":1,""accumulated_points"":216.0,""num_first_places"":2},{""year"":1966,""points"":8.0,""place"":6,""accumulated_points"":224.0,""num_first_places"":2},{""year"":1967,""points"":0.0,""place"":12,""accumulated_points"":224.0,""num_first_places"":2}]"
173,"[{""year"":1961,""points"":0.0,""place"":6,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1963,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
174,"[{""year"":1961,""points"":0.0,""place"":6,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1962,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
175,"[{""year"":1961,""points"":0.0,""place"":6,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1962,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
176,"[{""year"":1962,""points"":1.0,""place"":8,""accumulated_points"":1.0,""num_first_places"":0},{""year"":1963,""points"":4.0,""place"":8,""accumulated_points"":5.0,""num_first_places"":0},{""year"":1964,""points"":3.0,""place"":8,""accumulated_points"":8.0,""num_first_places"":0},{""year"":1965,""points"":2.0,""place"":8,""accumulated_points"":10.0,""num_first_places"":0},{""year"":1966,""points"":13.0,""place"":5,""accumulated_points"":23.0,""num_first_places"":0},{""year"":1967,""points"":6.0,""place"":8,""accumulated_points"":29.0,""num_first_places"":0}]"
177,"[{""year"":1962,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1963,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
178,"[{""year"":1962,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
179,"[{""year"":1963,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
180,"[{""year"":1963,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1965,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1967,""points"":44.0,""place"":2,""accumulated_points"":44.0,""num_first_places"":0},{""year"":1968,""points"":62.0,""place"":1,""accumulated_points"":106.0,""num_first_places"":1},{""year"":1969,""points"":47.0,""place"":3,""accumulated_points"":153.0,""num_first_places"":1},{""year"":1971,""points"":21.0,""place"":5,""accumulated_points"":174.0,""num_first_places"":1}]"
181,"[{""year"":1964,""points"":7.0,""place"":6,""accumulated_points"":7.0,""num_first_places"":0},{""year"":1965,""points"":5.0,""place"":7,""accumulated_points"":12.0,""num_first_places"":0},{""year"":1966,""points"":1.0,""place"":10,""accumulated_points"":13.0,""num_first_places"":0}]"
182,"[{""year"":1964,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1965,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1967,""points"":0.0,""place"":12,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1969,""points"":49.0,""place"":2,""accumulated_points"":49.0,""num_first_places"":0},{""year"":1976,""points"":0.0,""place"":14,""accumulated_points"":49.0,""num_first_places"":0},{""year"":1979,""points"":0.0,""place"":13,""accumulated_points"":49.0,""num_first_places"":0}]"
183,"[{""year"":1964,""points"":30.0,""place"":4,""accumulated_points"":30.0,""num_first_places"":0},{""year"":1965,""points"":27.0,""place"":3,""accumulated_points"":57.0,""num_first_places"":0},{""year"":1966,""points"":1.0,""place"":10,""accumulated_points"":58.0,""num_first_places"":0},{""year"":1967,""points"":2.0,""place"":11,""accumulated_points"":60.0,""num_first_places"":0},{""year"":1968,""points"":0.0,""place"":11,""accumulated_points"":60.0,""num_first_places"":0},{""year"":1969,""points"":0.0,""place"":7,""accumulated_points"":60.0,""num_first_places"":0}]"
184,"[{""year"":1965,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1967,""points"":0.0,""place"":12,""accumulated_points"":0.0,""num_first_places"":0}]"
185,"[{""year"":1965,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
186,"[{""year"":1965,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
187,"[{""year"":1966,""points"":2.0,""place"":9,""accumulated_points"":2.0,""num_first_places"":0},{""year"":1967,""points"":0.0,""place"":12,""accumulated_points"":2.0,""num_first_places"":0},{""year"":1968,""points"":49.0,""place"":2,""accumulated_points"":51.0,""num_first_places"":0},{""year"":1969,""points"":38.0,""place"":4,""accumulated_points"":89.0,""num_first_places"":0},{""year"":1970,""points"":35.0,""place"":4,""accumulated_points"":124.0,""num_first_places"":0}]"
188,"[{""year"":1966,""points"":1.0,""place"":10,""accumulated_points"":1.0,""num_first_places"":0}]"
189,"[{""year"":1966,""points"":4.0,""place"":7,""accumulated_points"":4.0,""num_first_places"":0},{""year"":1967,""points"":0.0,""place"":12,""accumulated_points"":4.0,""num_first_places"":0}]"
190,"[{""year"":1966,""points"":0.0,""place"":13,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1967,""points"":13.0,""place"":7,""accumulated_points"":13.0,""num_first_places"":0},{""year"":1968,""points"":0.0,""place"":11,""accumulated_points"":13.0,""num_first_places"":0}]"
191,"[{""year"":1966,""points"":42.0,""place"":1,""accumulated_points"":42.0,""num_first_places"":1},{""year"":1967,""points"":63.0,""place"":1,""accumulated_points"":105.0,""num_first_places"":2},{""year"":1968,""points"":10.0,""place"":8,""accumulated_points"":115.0,""num_first_places"":2},{""year"":1969,""points"":0.0,""place"":7,""accumulated_points"":115.0,""num_first_places"":2}]"
192,"[{""year"":1966,""points"":0.0,""place"":13,""accumulated_points"":0.0,""num_first_places"":0}]"
193,"[{""year"":1967,""points"":0.0,""place"":12,""accumulated_points"":0.0,""num_first_places"":0}]"
194,"[{""year"":1967,""points"":3.0,""place"":10,""accumulated_points"":3.0,""num_first_places"":0},{""year"":1968,""points"":3.0,""place"":10,""accumulated_points"":6.0,""num_first_places"":0}]"
195,"[{""year"":1968,""points"":14.0,""place"":6,""accumulated_points"":14.0,""num_first_places"":0}]"
196,"[{""year"":1968,""points"":45.0,""place"":3,""accumulated_points"":45.0,""num_first_places"":0},{""year"":1969,""points"":66.0,""place"":1,""accumulated_points"":111.0,""num_first_places"":1}]"
197,"[{""year"":1969,""points"":0.0,""place"":7,""accumulated_points"":0.0,""num_first_places"":0}]"
198,"[{""year"":1970,""points"":0.0,""place"":9,""accumulated_points"":0.0,""num_first_places"":0}]"
199,"[{""year"":1971,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0}]"
200,"[{""year"":1971,""points"":33.0,""place"":3,""accumulated_points"":33.0,""num_first_places"":0}]"
201,"[{""year"":1971,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0}]"
202,"[{""year"":1975,""points"":9.5,""place"":6,""accumulated_points"":9.5,""num_first_places"":0}]"
203,"[{""year"":1975,""points"":0.0,""place"":14,""accumulated_points"":0.0,""num_first_places"":0}]"
204,"[{""year"":1976,""points"":9.0,""place"":9,""accumulated_points"":9.0,""num_first_places"":0},{""year"":1979,""points"":7.0,""place"":8,""accumulated_points"":16.0,""num_first_places"":0}]"
205,"[{""year"":2010,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0},{""year"":2011,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0}]"
206,"[{""year"":2012,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0},{""year"":2013,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0},{""year"":2014,""points"":2.0,""place"":9,""accumulated_points"":2.0,""num_first_places"":0}]"
207,"[{""year"":2012,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0},{""year"":2013,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0},{""year"":2014,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0}]"
208,"[{""year"":2012,""points"":303.0,""place"":4,""accumulated_points"":303.0,""num_first_places"":0},{""year"":2013,""points"":315.0,""place"":4,""accumulated_points"":618.0,""num_first_places"":0},{""year"":2014,""points"":10.0,""place"":8,""accumulated_points"":628.0,""num_first_places"":0},{""year"":2015,""points"":78.0,""place"":6,""accumulated_points"":706.0,""num_first_places"":0}]"
209,"[{""year"":2015,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0},{""year"":2016,""points"":1.0,""place"":11,""accumulated_points"":1.0,""num_first_places"":0}]"
210,"[{""year"":2016,""points"":29.0,""place"":8,""accumulated_points"":29.0,""num_first_places"":0},{""year"":2017,""points"":47.0,""place"":8,""accumulated_points"":76.0,""num_first_places"":0},{""year"":2018,""points"":93.0,""place"":5,""accumulated_points"":169.0,""num_first_places"":0},{""year"":2019,""points"":28.0,""place"":9,""accumulated_points"":197.0,""num_first_places"":0},{""year"":2020,""points"":3.0,""place"":9,""accumulated_points"":200.0,""num_first_places"":0},{""year"":2021,""points"":0.0,""place"":10,""accumulated_points"":200.0,""num_first_places"":0},{""year"":2022,""points"":37.0,""place"":8,""accumulated_points"":237.0,""num_first_places"":0}]"
211,"[{""year"":2019,""points"":73.0,""place"":7,""accumulated_points"":73.0,""num_first_places"":0},{""year"":2020,""points"":195.0,""place"":4,""accumulated_points"":268.0,""num_first_places"":0}]"
213,"[{""year"":2020,""points"":107.0,""place"":7,""accumulated_points"":107.0,""num_first_places"":0},{""year"":2021,""points"":142.0,""place"":6,""accumulated_points"":249.0,""num_first_places"":0},{""year"":2022,""points"":35.0,""place"":9,""accumulated_points"":284.0,""num_first_places"":0}]"
214,"[{""year"":2021,""points"":155.0,""place"":5,""accumulated_points"":155.0,""num_first_places"":0},{""year"":2022,""points"":173.0,""place"":4,""accumulated_points"":328.0,""num_first_places"":0}]"
